ds,yhat,lower_80,upper_80,lower_90,upper_90
1991-01-01,13.680616587982044,10.013535820932088,17.347697355032,8.974014564167692,18.387218611796396
1991-01-02,14.26148888392526,9.075453528845678,19.447524239004842,7.605348469154346,20.917629298696173
1991-01-03,14.622885551699852,8.271315347710676,20.97445575568903,6.4708117154468905,22.774959387952812
1991-01-04,14.911385698938318,7.5772241648384036,22.24554723303823,5.498181651309613,24.32458974656702
1991-01-05,15.264335298177464,7.064493424071689,23.46417717228324,4.740053229890487,25.788617366464443
1991-01-06,15.481085328745706,6.498608603899369,24.463562053592042,3.9523119480499034,27.00985870944151
1991-01-07,15.678814552385823,5.976630805183653,25.380998299587993,3.226316077219744,28.131313027551904
1991-01-08,15.969450798631883,5.597380088472718,26.341521508791047,2.657169969090054,29.28173162817371
1991-01-09,15.621584163261744,4.6203418621118715,26.622826464411617,1.5017780918186858,29.741390234704802
1991-01-10,15.847189224955812,4.250861637280607,27.443516812631017,0.9636067897444018,30.73077166016722
1991-01-11,15.706518579000068,3.544187598766685,27.868849559233453,0.09648562848049203,31.316551529519643
1991-01-12,15.922932577745364,3.219792169767011,28.626072985723717,-0.3812150947605595,32.22708025025129
1991-01-13,15.870148358121995,2.648300621255558,29.09199609498843,-1.0997465719432356,32.840043288187225
1991-01-14,15.742703174470407,2.0217433345412843,29.46366301439953,-1.8677890545397453,33.353195403480555
1991-01-15,15.63625372098889,1.4337109810068842,29.838796460970897,-2.5923375344702215,33.864844976448
1991-01-16,15.886977736153511,1.2186546679536825,30.55530080435334,-2.9394303591038984,34.71338583141092
1991-01-17,15.82022169896942,0.700460358751414,30.939983039187425,-3.5855955829630055,35.22603898090185
1991-01-18,15.771386228962974,0.21328016372422987,31.32949229420172,-4.1970350153497655,35.73980747327572
1991-01-19,15.714294575346969,-0.27013990602541327,31.69872905671935,-4.8013080139238085,36.229897164617746
1991-01-20,15.906128563732587,-0.4935551844789643,32.30581231194414,-5.142435572841368,36.95469270030654
1991-01-21,15.93115841969749,-0.8735167748256636,32.73583361422064,-5.637201620464129,37.499518459859104
1991-01-22,16.574839951322573,-0.6252934709939382,33.774973373639085,-5.501080356393114,38.650760259038265
1991-01-23,17.037505831069844,-0.5491957100821274,34.62420737222182,-5.534564522426468,39.60957618456615
1991-01-24,17.25771924672717,-0.7072342029655054,35.22267269641985,-5.799827514664436,40.315266008118776
1991-01-25,17.298069473836804,-1.0373343614129809,35.63347330908659,-6.234940645234957,40.831079592908566
1991-01-26,17.309177319166878,-1.3893390699416486,36.007693708275404,-6.689878242977798,41.308232881311554
1991-01-27,17.407671212104823,-1.647039399862706,36.46238182407235,-7.04855029665406,41.8638927208637
1991-01-28,17.498189035363097,-1.906178459041243,36.90255652976744,-7.406807914969061,42.40318598569526
1991-01-29,17.39539206432044,-2.352442227316793,37.14322635595767,-7.950435515512641,42.74121964415352
1991-01-30,17.329831504114026,-2.7555970589520626,37.415260067180114,-8.449289472311854,43.108952480539905
