ds,y
2024-01-01,9.419221467578915
2024-01-02,9.875798060173224
2024-01-03,10.321928718560335
2024-01-04,9.181234708293143
2024-01-05,8.334819924832571
2024-01-06,7.660065102206268
2024-01-07,7.528923495929941
2024-01-08,8.93100745536713
2024-01-09,9.727479364659043
2024-01-10,9.857017601770501
2024-01-11,9.5779103189096
2024-01-12,8.526112643491155
2024-01-13,7.138414770426435
2024-01-14,7.586813375351592
2024-01-15,8.030559724296713
2024-01-16,9.169356757160656
2024-01-17,9.15252092375246
2024-01-18,9.465300236683735
2024-01-19,8.02820714710787
2024-01-20,7.220367645358226
2024-01-21,8.017432798027718
2024-01-22,7.5517538360818355
2024-01-23,8.494373592768717
2024-01-24,9.850756165487917
2024-01-25,8.981459492276263
2024-01-26,8.122906407074991
2024-01-27,6.9170208552725745
2024-01-28,7.67069188494502
2024-01-29,9.361403764160537
2024-01-30,9.769694478633179
2024-01-31,9.74030332145713
2024-02-01,8.921650548987339
2024-02-02,8.00489874622293
2024-02-03,6.735900140919987
2024-02-04,7.923041537653631
2024-02-05,9.03819324339274
2024-02-06,8.949766899846587
2024-02-07,9.54785394647728
2024-02-08,8.774286260135947
2024-02-09,7.916587409047181
2024-02-10,7.748971947328755
2024-02-11,7.126224507289778
2024-02-12,9.085708175342825
2024-02-13,10.021556658688306
2024-02-14,9.851979668185242
2024-02-15,8.384988709035499
2024-02-16,8.044160436569731
2024-02-17,8.360740070241071
2024-02-18,6.988787656993739
2024-02-19,8.840990635122592
2024-02-20,9.38801431932793
2024-02-21,10.41424882403394
2024-02-22,9.24722653217193
2024-02-23,8.744309495264933
2024-02-24,8.233763464267632
2024-02-25,8.974475705177175
2024-02-26,9.038823222529853
2024-02-27,10.150432378563877
2024-02-28,9.638398511749031
2024-02-29,10.133437538346811
2024-03-01,8.41852434774214
2024-03-02,7.923277630964897
2024-03-03,8.371086251345483
2024-03-04,8.63484626186406
2024-03-05,10.231522642286407
2024-03-06,10.75940721257001
2024-03-07,9.914445642428232
