ds,y
2024-05-01,521.3533590370611
2024-05-02,530.1570495528578
2024-05-03,522.1886561581609
2024-05-04,526.0353260923869
2024-05-05,530.4650832534406
2024-05-06,542.3858369183679
2024-05-07,551.3489452262808
2024-05-08,544.0560929147998
2024-05-09,533.8844883232758
2024-05-10,540.3652003133383
2024-05-11,546.6988719543876
2024-05-12,548.8536206790297
2024-05-13,549.6413597022663
2024-05-14,551.6099526097507
2024-05-15,548.2084448198357
2024-05-16,554.519650837118
2024-05-17,541.7983069528616
2024-05-18,537.8497514783446
2024-05-19,542.6663587031421
2024-05-20,527.0187893932762
2024-05-21,534.7570322173508
2024-05-22,529.0489193441537
2024-05-23,523.4774103925796
2024-05-24,529.8209599264411
2024-05-25,512.575079705764
2024-05-26,524.8601394705395
2024-05-27,507.5904899178493
2024-05-28,498.0569181574333
2024-05-29,503.3154426267311
2024-05-30,494.0779232471402
2024-05-31,494.1790565837955
2024-06-01,502.2782321420587
2024-06-02,504.9977801689022
2024-06-03,500.2550529289842
2024-06-04,512.7736462625912
2024-06-05,517.1629567733377
2024-06-06,522.6707577701155
2024-06-07,521.4788661510834
2024-06-08,531.0849501483874
2024-06-09,516.5034319947168
2024-06-10,530.968176676842
2024-06-11,532.8800443666811
2024-06-12,544.0338673699772
2024-06-13,545.064217499668
2024-06-14,552.5151654731807
2024-06-15,569.57665859615
2024-06-16,561.6990734011649
2024-06-17,569.2104976305727
2024-06-18,568.8413651714825
2024-06-19,573.6213798814899
2024-06-20,575.4973882150401
2024-06-21,579.7552197233096
2024-06-22,584.9303409116759
2024-06-23,587.937396900495
2024-06-24,579.2520514876028
2024-06-25,579.4989350189585
2024-06-26,566.8630946391247
2024-06-27,570.3141811616082
2024-06-28,572.8637033548183
2024-06-29,568.1595045342256
2024-06-30,559.402260421456
2024-07-01,558.1240901082836
2024-07-02,551.4737862445047
2024-07-03,552.1653921068086
2024-07-04,542.8821894452486
2024-07-05,535.0242867967513
2024-07-06,535.1012437804841
2024-07-07,511.4326681110269
2024-07-08,527.3328994692619
2024-07-09,499.338945713497
2024-07-10,507.3385862288864
2024-07-11,517.1724303695885
2024-07-12,514.5115823011852
2024-07-13,502.31999097669456
2024-07-14,503.1856685648209
2024-07-15,514.4022898508763
2024-07-16,502.582809379402
2024-07-17,518.8578156778967
2024-07-18,505.9132767064658
2024-07-19,509.50210206109415
2024-07-20,518.4698789384382
2024-07-21,511.8243404880905
2024-07-22,507.80629300933316
2024-07-23,516.4041971729295
2024-07-24,520.4891480428464
2024-07-25,516.4825688376935
2024-07-26,527.3554168556602
2024-07-27,528.8259425253668
2024-07-28,543.2978846082206
2024-07-29,542.428960853653
2024-07-30,544.9039896056371
2024-07-31,550.1679195210638
2024-08-01,556.0911822891287
2024-08-02,562.4879656607716
2024-08-03,558.493755350826
2024-08-04,563.4542649684565
2024-08-05,580.9739184275833
2024-08-06,575.8786902505717
2024-08-07,573.17000189373
2024-08-08,586.9233846913827
2024-08-09,588.8744973057567
2024-08-10,577.9751738866286
2024-08-11,588.8340154413689
2024-08-12,591.4155587829862
2024-08-13,588.0686693920488
2024-08-14,587.7505235266505
2024-08-15,573.0375405634043
2024-08-16,580.38483500463
2024-08-17,573.0209987201484
2024-08-18,567.9601191357154
2024-08-19,571.767617695644
2024-08-20,570.8640858212912
2024-08-21,568.0473847446444
2024-08-22,560.4037183531254
2024-08-23,547.1223267281941
2024-08-24,545.2832457344341
2024-08-25,543.3578976177847
2024-08-26,535.3551931605803
2024-08-27,531.6346597815029
2024-08-28,532.4261154463175
2024-08-29,524.2238822617987
2024-08-30,517.8024629534649
2024-08-31,517.8214340685065
2024-09-01,522.7905049459483
2024-09-02,518.2378992470141
2024-09-03,521.9208328438798
2024-09-04,526.690858050063
2024-09-05,523.6711501230907
2024-09-06,534.104375506587
2024-09-07,535.8132800722934
2024-09-08,530.3544581377996
2024-09-09,550.808087102593
2024-09-10,543.6231374220073
2024-09-11,541.1657442307775
2024-09-12,549.203158831721
2024-09-13,553.5475471611735
2024-09-14,563.9290453044155
2024-09-15,565.5806384835397
2024-09-16,568.4066072517094
2024-09-17,576.8845907787268
2024-09-18,577.4276096889851
2024-09-19,578.9486271519517
2024-09-20,580.5874705336089
2024-09-21,582.2957946898614
2024-09-22,565.8105697950073
2024-09-23,575.526720947396
2024-09-24,563.3021598436547
2024-09-25,574.7160287168684
2024-09-26,572.0767526630875
2024-09-27,575.5241294961772
2024-09-28,573.1268443196765
2024-09-29,563.6417935561416
2024-09-30,555.5980134046038
2024-10-01,557.5191169533849
2024-10-02,547.3669548973419
2024-10-03,546.4578252147521
2024-10-04,549.2476652719855
2024-10-05,538.6759816934772
2024-10-06,545.7740738103757
2024-10-07,544.1990709131056
2024-10-08,533.9232304623479
2024-10-09,545.3732892533586
2024-10-10,543.9894198566582
2024-10-11,541.0880904123212
2024-10-12,537.0018884483375
2024-10-13,537.9407236420349
2024-10-14,541.8005130292499
2024-10-15,550.6020982343489
2024-10-16,544.2912898714956
2024-10-17,555.6463898644472
2024-10-18,548.8352031126506
2024-10-19,558.5362837174515
2024-10-20,564.0396159784315
2024-10-21,581.7495885396045
2024-10-22,562.5138671949082
2024-10-23,583.2339112841247
2024-10-24,578.7723060357323
2024-10-25,583.5820165006841
2024-10-26,584.7624117698164
2024-10-27,589.282938734352
